id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
851964035219845382,Magnifique Studio - Lyon 3,505015678,Sci,,3e Arrondissement,45.7558152,4.8754827,Entire home/apt,63,2,15,2023-12-10,1.29,4,244,15,6938313258930
851967850691896545,Brand new studio near Part-Dieu,506262940,Julien,,3e Arrondissement,45.7631056,4.8662335,Entire home/apt,75,1,5,2023-11-13,0.42,1,136,5,6938313355138
851996094493990519,Belle chambre au coeur de Lyon,87182279,Michel,,1er Arrondissement,45.7681045,4.833685099999999,Private room,,1,8,2023-07-13,0.68,1,0,8,
852067608305422220,Appart de charme sur Valmy !,19153369,Mathilde,,9e Arrondissement,45.77566915572027,4.801549044215855,Entire home/apt,75,2,0,,,1,10,0,6938913642806
852661096121038695,Chambre chez l'habitant - Croix Rousse -,14748617,Sonia,,4e Arrondissement,45.77850769694746,4.8286474288818315,Private room,35,1,13,2023-12-31,1.10,1,8,13,
852674201901252823,2 bedroom apartment in Lyon,24694082,Christopher,,4e Arrondissement,45.7787986433088,4.810224032292925,Entire home/apt,95,2,6,2023-12-10,0.56,1,149,6,6938413556534
852915870812796834,Appartement au centre de Lyon - Cosy flat in Lyon,208676749,Michael,,2e Arrondissement,45.74604850395658,4.826818000000017,Entire home/apt,71,2,43,2024-01-27,3.54,1,306,43,0693822000320
853526121031866791,Le Cosmo - Premium apartment w/ terrace- Part Dieu,176904029,Romain,,3e Arrondissement,45.76277,4.86052,Entire home/apt,62,31,0,,,42,296,0,"Available with a mobility lease only (""bail mobilité"")"
853539757093525134,Cosy studio - Halles Paul Bocuse,428415175,Co-Housing,,3e Arrondissement,45.76081639963131,4.850505142275114,Entire home/apt,70,1,19,2024-02-08,1.61,4,5,19,6938313548742
854008066264553786,Studio au cœur de la presqu'île,183573362,Leslie,,2e Arrondissement,45.75355019441458,4.833043099447548,Entire home/apt,68,1,49,2024-03-17,4.76,1,83,49,6938213582621
854087817230434455,Cosy - Studio - Lyon 1,5931758,2beapart,,1er Arrondissement,45.76738580000001,4.831826700000001,Entire home/apt,43,30,0,,,45,94,0,"Available with a mobility lease only (""bail mobilité"")"
854130097609827272,Colomès - T1 - Lyon 1,5931758,2beapart,,1er Arrondissement,45.7704899375428,4.83609321208108,Entire home/apt,80,1,15,2024-02-28,1.76,45,131,15,6938113231864
854744535519332857,Studio/1à4/3lits/Lyon8/Parking,371613848,Maxime,,8e Arrondissement,45.726509604218315,4.87259779125452,Entire home/apt,52,1,78,2024-02-29,6.46,2,325,78,6938813529205
854818436617107756,Appartement F2 neuf - Mermoz,518716444,Nestia,,8e Arrondissement,45.734373553590515,4.883896204729142,Entire home/apt,77,1,6,2023-08-25,0.66,11,117,6,6938813549692
854881094167598268,Comfort room au cœur de Lyon,33999339,Antoine Et Donovan,,8e Arrondissement,45.740584319390585,4.864701926550497,Private room,40,1,16,2023-11-22,1.45,4,19,16,
854912218595213596,Mon petit cocon lyonnais,45120557,Géraldine,,3e Arrondissement,45.7580088158601,4.8486536029731715,Entire home/apt,73,2,6,2023-10-01,0.57,1,64,6,6938313549732
855483291382547342,Appartement familial canut,7391419,Félicie Et Mathias,,1er Arrondissement,45.769468125855525,4.829821387184009,Entire home/apt,130,3,3,2023-05-21,0.27,1,66,3,6938113551073
855539979054697351,Le Bellecour/hypercentre/Lyon,25209221,Thibault,,2e Arrondissement,45.75415960000001,4.828666,Entire home/apt,79,2,60,2024-03-08,5.29,1,307,60,6938213124345
855720190431266159,Cosy Appartement avec grande terrasse,98812925,Maria,,8e Arrondissement,45.73375029138825,4.88230348702329,Entire home/apt,75,7,0,,,1,365,0,Exempt - hotel-type listing
855721001845072914,Charmant T3 au coeur Monplaisir,60931653,Nicolas,,8e Arrondissement,45.74709792797619,4.861468539024124,Entire home/apt,155,2,27,2024-03-22,2.41,2,323,27,6938213550551
856230938673012943,Hamac Suites - Le confluence terrace garage - 4p,319512702,Sébastien,,2e Arrondissement,45.74522402322848,4.816517318864628,Entire home/apt,120,1,22,2024-03-10,1.88,28,358,22,6938213536495
856456264317468685,T4 panoramique -  Monplaisir,127483828,Guillaume,,8e Arrondissement,45.741334197286356,4.863403413190627,Entire home/apt,145,2,11,2024-03-18,0.95,1,117,11,6938813551276
856512408344360988,Chambre double - Lyon 7,20362890,Marie,,7e Arrondissement,45.730105949926475,4.828380320705712,Private room,,2,4,2023-10-21,0.43,1,0,4,
856559202950105810,Chez Nous,208398417,Léna,,5e Arrondissement,45.76654806779114,4.822267590200443,Entire home/apt,210,2,1,2023-12-10,0.29,1,101,1,6938513551359
856970866937564426,NEW / La vie est belle au studio Confluence,451751213,Maeva,,2e Arrondissement,45.742942381991924,4.82170913859181,Entire home/apt,,3,7,2023-08-31,0.63,1,0,7,6938213241834
857055955691070909,"Appt 1 chambre avec clim, Unique à St Georges",507444883,Patricio,,5e Arrondissement,45.7588772088374,4.825174174205014,Entire home/apt,54,365,0,,,1,365,0,
857057748985505563,Appartement cosy sous les toits,22363538,Paul,,7e Arrondissement,45.75523545847333,4.841703503110954,Entire home/apt,,2,6,2023-10-07,0.71,1,0,6,6938713589115
857171169784217789,Belle chambre privée,32331151,Ahmad,,8e Arrondissement,45.74002055487658,4.873968603712791,Private room,36,1,30,2024-03-09,3.20,1,137,30,
857279997923215415,"Bel appartement Lyon, Bellecour",103831985,Philippe,,2e Arrondissement,45.753140364634525,4.824621592156909,Entire home/apt,48,30,2,2023-12-31,0.25,12,296,2,"Available with a mobility lease only (""bail mobilité"")"
857781017706686719,Appartement 60 m2 4 à 6 pers,70797454,Claude,,8e Arrondissement,45.7417525,4.8823415,Entire home/apt,105,2,14,2024-03-17,1.25,1,48,14,6938813556919
857898552666733940,GuestReady - Fantastic stay near Cordeliers,507618780,Lucie,,2e Arrondissement,45.763285893696676,4.834467605263344,Entire home/apt,,1,2,2023-10-20,0.37,1,0,2,6938212982508
858419044256480527,Appartement cosy - Croix rousse,50398083,Thibault,,4e Arrondissement,45.78020788482625,4.818196261859297,Entire home/apt,,2,10,2023-10-16,0.86,1,0,10,6938413553168
858543090345068622,Toit de Lumière YourHostHelper,507756119,Margaux,,8e Arrondissement,45.745204741712065,4.862861877909839,Entire home/apt,85,2,1,2023-06-17,0.11,1,0,1,6938813520691
858544300056367538,"Ultra-functional studio, Lyon 1st/Hôtel-de-Ville",316423644,Hosting Services,,1er Arrondissement,45.768273,4.8336508,Entire home/apt,55,3,36,2024-02-16,3.26,108,33,36,6938113432297
858544999428878466,"The Frenchy for 2 people, Town-Hall/Terreaux",316423644,Hosting Services,,1er Arrondissement,45.768273,4.8336508,Entire home/apt,58,2,34,2024-02-05,3.04,108,37,34,6938113432495
858545474823247200,"Charming cocoon, 4 people, Lyon 1st/Hôtel-de-Ville",316423644,Hosting Services,,1er Arrondissement,45.768273,4.8336508,Entire home/apt,73,2,49,2024-03-03,4.38,108,37,49,6938113432495
858609470468381032,Duplex- Université,93346588,Cyril,,7e Arrondissement,45.74974250240317,4.842639249073781,Entire home/apt,58,2,31,2024-03-16,2.71,4,349,31,6938713306032
859248885213327013,Appartement spacieux Lyon 3,424254849,Vianney,,3e Arrondissement,45.756729136495366,4.855269475959797,Entire home/apt,70,1,1,2023-12-10,0.29,1,34,1,6938313697608
859261903630108256,50m² cozy near place Bellecour & view s/ basilica,520770021,Fabien,,2e Arrondissement,45.7577714,4.829197199999999,Entire home/apt,110,1,39,2024-03-18,6.80,8,126,39,6938213654380
859275018204748010,appartement refait à neuf F-4,165991180,Hristo,,7e Arrondissement,45.73526632126428,4.8255484897194005,Entire home/apt,96,1,9,2023-11-23,0.92,1,174,9,6938713553382
860787281718317386,Appartement Canut,50445602,Clément,,1er Arrondissement,45.7741378,4.8349576,Entire home/apt,158,2,6,2023-09-30,0.55,1,225,6,2023929569001
860852801935275240,Appartement Lyon - proche métro,37794573,Anna-Maria,,8e Arrondissement,45.7438592,4.8672945,Entire home/apt,100,1,6,2023-12-03,0.56,1,87,6,6938813438638
